application_id,customer_id,application_date,product_type,acquisition_channel,device_os,customer_age,gender,city_tier,employment_type,monthly_income_inr,existing_emi_inr,credit_score,credit_history_months,kyc_status,requested_amount_inr,approved_amount_inr,tenure_months,interest_rate_pct,emi_amount_inr,application_status,disbursed_flag,disbursal_tat_hours,emis_paid,days_past_due,default_flag,fraud_flag,prev_loans_with_us,app_sessions_last_30d,customer_nps,rejection_reason,dti_ratio
APP400835,FC00505,2024-01-25,Personal Loan,DSA Agent,iOS,30.0,Female,Tier 2,Salaried,69849.0,2822.0,709.0,15,Verified,1000.0,,18,20.26,,Rejected,0,,,,,0,2,3,,Income below threshold,0.040401437386362
APP401189,FC00260,2023-12-07,BNPL,Mobile App,Android,49.0,Male,Tier 1,Gig Worker,31169.0,3640.0,709.0,30,Verified,10300.0,9600.0,1,23.88,9791.0,Approved,1,13.5,0.0,0.0,0.0,0,0,9,6.0,,0.1167827007603708
APP404759,FC03699,2024-02-28,Credit Line,Mobile App,Android,23.0,Male,Tier 2,Salaried,78601.0,2550.0,900.0,25,Verified,240500.0,131400.0,36,17.2,4698.0,Approved,1,30.2,21.0,0.0,0.0,0,1,7,,,0.032442335339245
APP400993,FC00113,2024-10-31,Two Wheeler Loan,Mobile App,Not Captured,40.0,Male,Tier 3,Gig Worker,37001.0,3530.0,,30,Verified,88100.0,78400.0,6,22.44,13935.0,Approved,1,35.3,3.0,0.0,0.0,0,1,3,5.0,,0.0954028269506229
APP400580,FC02074,2023-09-28,Personal Loan,Partner Merchant,Android,49.0,Male,Tier 3,Gig Worker,21356.0,80.0,710.0,27,Pending,44400.0,,6,21.13,,Under Review,0,,,,,0,1,7,9.0,,0.0037460198539052
APP405712,FC03351,02/07/24,Personal Loan,Partner Merchant,Android,37.0,Male,Tier 2,Salaried,,2620.0,697.0,89,Verified,200200.0,,36,25.16,,Rejected,0,,,,,0,1,6,3.0,Income below threshold,
APP404861,FC00877,2023-10-25,Two Wheeler Loan,Website,Not Captured,25.0,Male,Tier 1,Gig Worker,28328.0,14800.0,844.0,30,Verified,95200.0,87000.0,24,18.39,4360.0,Approved,1,7.6,9.0,0.0,0.0,0,1,5,,,0.5224512849477548
APP406636,FC02734,2024-01-09,Personal Loan,Website,Android,47.0,Male,Tier 1,Salaried,49226.0,6981.0,751.0,89,Verified,196000.0,155000.0,18,23.28,10284.0,Approved,1,13.9,1.0,0.0,0.0,0,1,6,6.0,,0.1418153008572705
APP401367,FC00431,2024-06-30,Personal Loan,Mobile App,Android,38.0,Female,Tier 2,Salaried,33786.0,10.0,779.0,8,Verified,205000.0,205000.0,24,17.5,10185.0,Approved,1,18.6,7.0,0.0,0.0,0,0,6,8.0,,0.0002959805836737
APP405602,FC03009,07-06-2024,Credit Line,Partner Merchant,Android,33.0,Male,Tier 1,Self Employed,113292.0,1523.0,633.0,38,Verified,166700.0,,18,24.45,,Under Review,0,,,,,0,0,6,,,0.0134431380856547
APP402208,FC03708,2024-03-01,BNPL,DSA Agent,Android,47.0,Female,Tier 1,Salaried,66544.0,18678.0,848.0,7,Verified,9200.0,6500.0,3,19.07,2236.0,Approved,1,21.7,1.0,0.0,0.0,0,2,14,7.0,,0.2806864630920894
APP404365,FC05624,2024-10-29,Personal Loan,Referral,Android,19.0,Male,Tier 3,Self Employed,105547.0,732.0,654.0,130,Failed,190800.0,,36,25.38,,Rejected,0,,,,,0,0,6,,High existing obligations,0.0069352989663372
APP405225,FC01884,2024-06-23,Credit Line,Website,Android,36.0,Male,Tier 1,Salaried,109751.0,7242.0,,70,Verified,154900.0,,18,24.59,,Rejected,0,,,,,0,1,7,,Income below threshold,0.0659857313372998
