application_id,customer_id,application_date,product_type,acquisition_channel,device_os,customer_age,gender,city_tier,employment_type,monthly_income_inr,existing_emi_inr,credit_score,credit_history_months,kyc_status,requested_amount_inr,approved_amount_inr,tenure_months,interest_rate_pct,emi_amount_inr,application_status,disbursed_flag,disbursal_tat_hours,emis_paid,days_past_due,default_flag,fraud_flag,prev_loans_with_us,app_sessions_last_30d,customer_nps,rejection_reason
APP400835,FC00505,2024-01-25,Personal Loan,DSA Agent,iOS,30,Female,Tier 2,Salaried,69849.0,2822.0,709.0,15,Verified,1000.0,,18,20.26,,Rejected,0,,,,,0,2,3,,Income below threshold
APP401189,FC00260,2023-12-07,BNPL,Mobile App,Android,49,Male,Tier 1,Gig Worker,31169.0,3640.0,709.0,30,verified,10300.0,9600.0,1,23.88,9791.0,Approved,1,13.5,0.0,0.0,0.0,0,0,9,6.0,
APP404759,FC03699,2024-02-28,Credit Line,Mobile App,Android,23,Male,Tier 2,Salaried,78601.0,2550.0,900.0,25,VERIFIED,240500.0,131400.0,36,17.2,4698.0,Approved,1,30.2,21.0,0.0,0.0,0,1,7,,
APP400993,FC00113,2024-10-31,Two Wheeler Loan,Mobile App,Not Captured,40,Male,Tier 3,Gig Worker,37001.0,3530.0,,30,Verified,88100.0,78400.0,6,22.44,13935.0,Approved,1,35.3,3.0,0.0,0.0,0,1,3,5.0,
APP400580,FC02074,2023-09-28,Personal Loan,Partner Merchant,Android,49,Male,Tier 3,Gig Worker,21356.0,80.0,710.0,27,Pending,44400.0,,6,21.13,,Under Review,0,,,,,0,1,7,9.0,
APP405712,FC03351,02/07/24,personal loan,Partner Merchant,Android,37,Male,Tier 2,Salaried,,2620.0,697.0,89,Verified,200200.0,,36,25.16,,Rejected,0,,,,,0,1,6,3.0,Income below threshold
APP404861,FC00877,2023-10-25,Two Wheeler Loan,Website,Not Captured,25,Male,Tier 1,Gig Worker,28328.0,14800.0,844.0,30,VERIFIED,95200.0,87000.0,24,18.39,4360.0,Approved,1,7.6,9.0,0.0,0.0,0,1,5,,
APP406636,FC02734,2024-01-09,Personal Loan,Website,Android,47,Male,Tier 1,Salaried,49226.0,6981.0,751.0,89,Verified,196000.0,155000.0,18,23.28,10284.0,Approved,1,13.9,1.0,0.0,0.0,0,1,6,6.0,
APP401367,FC00431,2024-06-30,Personal Loan,Mobile App,Android,38,Female,Tier 2,Salaried,33786.0,10.0,779.0,8,Verified,205000.0,205000.0,24,17.5,10185.0,Approved,1,18.6,7.0,0.0,0.0,0,0,6,8.0,
APP405602,FC03009,07-06-2024,Credit Line,Partner Merchant,Android,33,Male,Tier 1,Self Employed,113292.0,1523.0,633.0,38,Verified,166700.0,,18,24.45,,Under Review,0,,,,,0,0,6,,
APP402208,FC03708,2024-03-01,Buy Now Pay Later,DSA Agent,Android,47,Female,Tier 1,Salaried,66544.0,18678.0,848.0,7,Verified,9200.0,6500.0,3,19.07,2236.0,Approved,1,21.7,1.0,0.0,0.0,0,2,14,7.0,
APP404365,FC05624,2024-10-29,Personal Loan,Referral,Android,19,Male,Tier 3,Self Employed,105547.0,732.0,654.0,130,Failed,190800.0,,36,25.38,,Rejected,0,,,,,0,0,6,,High existing obligations
APP405225,FC01884,2024-06-23,Credit Line,Website,Android,36,Male,Tier 1,Salaried,109751.0,7242.0,,70,Verified,154900.0,,18,24.59,,Rejected,0,,,,,0,1,7,,Income below threshold
APP400165,FC00859,2024-05-27,Personal Loan,Mobile App,Android,28,Female,Tier 1,Student,12294.0,1911.0,818.0,22,Failed,135900.0,92700.0,36,15.34,3229.0,Approved,1,6.2,12.0,0.0,0.0,0,1,3,9.0,
APP405379,FC05436,2023-12-16,Small Business Loan,Website,iOS,32,Male,Tier 2,Salaried,50837.0,9155.0,870.0,59,Verified,569000.0,406700.0,18,17.56,25865.0,Approved,0,,,,,0,0,7,9.0,
APP403015,FC03581,2023-10-21,Two Wheeler Loan,Referral,Android,42,Male,Tier 2,Salaried,5000.0,2713.0,,33,Verified,57900.0,,12,23.76,,Rejected,0,,,,,0,1,7,6.0,Low credit score
APP404775,FC02198,2024-09-15,BNPL,Mobile App,Android,36,Male,Tier 1,Salaried,11568.0,3981.0,746.0,34,verified,1700.0,1000.0,1,21.68,1018.0,Approved,0,,,,,0,4,8,,
APP406226,FC03696,2024-09-25,Personal Loan,Partner Merchant,iOS,21,Female,Tier 1,Gig Worker,19226.0,4732.0,548.0,41,Verified,224200.0,,12,30.52,,Rejected,0,,,,,0,0,4,8.0,Thin credit file
APP406423,FC05590,18-09-2023,Credit Line,DSA Agent,Android,33,Female,Tier 2,Salaried,82097.0,11392.0,544.0,26,Verified,217800.0,,18,24.49,,Rejected,0,,,,,0,0,9,,KYC mismatch
APP403362,FC02497,2023-12-06,Small Business Loan,Mobile App,Android,18,Female,Tier 2,Self Employed,111126.0,3696.0,608.0,31,verified,329300.0,,24,26.57,,Rejected,0,,,,,0,1,8,6.0,KYC mismatch
APP405539,FC00028,2024-04-02,Small Business Loan,Mobile App,Android,33,Female,Tier 1,Salaried,54160.0,4862.0,513.0,56,Verified,183900.0,,12,31.24,,Rejected,0,,,,,0,0,4,6.0,Thin credit file
APP402234,FC04438,2024-04-02,Two Wheeler Loan,Website,iOS,43,Male,Tier 2,Gig Worker,23161.0,12063.0,631.0,24,Verified,98600.0,,48,25.12,,Rejected,0,,,,,0,0,5,8.0,Low credit score
APP402678,FC03722,2024-09-24,Buy Now Pay Later,Mobile App,Android,36,Male,Tier 2,Gig Worker,21672.0,38.0,812.0,25,Verified,9700.0,,1,18.64,,Under Review,0,,,,,0,0,16,,
APP404325,FC02687,12/09/23,Buy Now Pay Later,Mobile App,Android,18,Female,Tier 1,Salaried,35735.0,7134.0,765.0,57,Failed,6300.0,4900.0,3,20.8,1690.0,Approved,1,29.2,1.0,0.0,0.0,0,0,6,10.0,
APP401352,FC01822,2024-08-02,Small Business Loan,Mobile App,iOS,40,Male,Tier 2,Self Employed,57796.0,4762.0,542.0,29,Verified,719200.0,,24,27.44,,Rejected,0,,,,,0,0,2,6.0,KYC mismatch
APP404709,FC02980,2024-04-24,Personal Loan,Partner Merchant,Android,36,Male,Tier 1,Salaried,38858.0,1272.0,640.0,31,Pending,230600.0,,36,23.4,,Rejected,0,,,,,0,0,4,,High existing obligations
APP400627,FC05771,10-04-2024,Credit Line,Partner Merchant,Android,32,Female,Tier 1,Salaried,46807.0,6037.0,673.0,20,Verified,87300.0,,6,24.64,,Under Review,0,,,,,0,0,9,8.0,
APP405916,FC04501,2024-10-09,Two Wheeler Loan,DSA Agent,Android,32,Male,Tier 2,Self Employed,53063.0,1791.0,657.0,54,Verified,76100.0,,24,24.11,,Under Review,0,,,,,0,0,6,8.0,
APP405531,FC00743,2024-07-29,Buy Now Pay Later,Mobile App,Android,34,Male,Tier 1,Gig Worker,27793.0,8392.0,764.0,67,Verified,2500.0,2000.0,3,20.0,689.0,Approved,1,13.8,1.0,0.0,0.0,0,0,7,9.0,
APP402135,FC01886,2023-12-24,Personal Loan,Partner Merchant,Android,42,Male,Tier 1,Self Employed,35012.0,10958.0,682.0,38,Pending,143100.0,357750.0,36,22.63,3532.0,Approved,1,8.6,33.0,0.0,0.0,0,2,6,10.0,
APP403666,FC02386,2024-10-04,Two Wheeler Loan,Mobile App,iOS,32,Male,Tier 3,Gig Worker,,15481.0,734.0,66,Verified,72300.0,,6,24.39,,Rejected,0,,,,,0,0,3,8.0,High existing obligations
APP400662,FC00640,19-11-2023,Two Wheeler Loan,Website,iOS,18,Female,Tier 1,Self Employed,15860.0,14398.0,752.0,38,Verified,59500.0,,24,21.53,,Under Review,0,,,,,0,1,4,8.0,
APP403704,FC04322,2023-09-21,Personal Loan,Mobile App,iOS,28,Male,Tier 2,Self Employed,37127.0,14722.0,755.0,21,Verified,201000.0,,36,18.97,,Rejected,0,,,,,0,0,4,,High existing obligations
APP404595,FC04737,2024-09-10,Two Wheeler Loan,DSA Agent,iOS,42,Female,Tier 2,Salaried,27570.0,10418.0,709.0,50,Verified,81200.0,,36,22.84,,Rejected,0,,,,,0,0,2,5.0,Low credit score
APP401743,FC02555,2024-08-21,Two Wheeler Loan,DSA Agent,Android,25,Male,Tier 1,Self Employed,73129.0,2232.0,685.0,23,VERIFIED,96500.0,,6,26.11,,Under Review,0,,,,,0,0,8,8.0,
APP405200,FC02582,2024-10-08,Two Wheeler Loan,DSA Agent,Android,32,Male,Tier 3,Self Employed,118857.0,14124.0,644.0,31,Pending,79300.0,79300.0,24,28.13,4358.0,Approved,1,18.1,5.0,55.0,0.0,0,0,7,7.0,
APP404522,FC04718,2024-05-29,Small Business Loan,Mobile App,Android,39,Male,Tier 2,Student,,196.0,610.0,78,VERIFIED,231900.0,,6,26.65,,Rejected,0,,,,,0,0,6,9.0,Thin credit file
APP406367,FC03102,2024-11-09,Personal Loan,Mobile App,Android,33,Male,Tier 1,Salaried,57839.0,3444.0,772.0,9,Verified,326100.0,292500.0,48,24.81,9667.0,Approved,1,15.1,31.0,0.0,0.0,0,0,7,6.0,
APP404104,FC00415,2023-10-21,BNPL,Partner Merchant,iOS,26,Male,Tier 2,Salaried,53005.0,2570.0,641.0,44,Verified,5600.0,,3,25.37,,Under Review,0,,,,,0,1,9,6.0,
APP403343,FC03149,13-03-2024,Two Wheeler Loan,Website,Android,27,Male,Tier 2,Student,9002.0,497.0,829.0,7,Verified,102300.0,82500.0,24,16.28,4051.0,Approved,1,5.9,3.0,0.0,0.0,0,0,10,6.0,
APP406020,FC00928,2024-09-21,Small Business Loan,DSA Agent,Android,45,Male,Tier 1,Salaried,35173.0,8041.0,756.0,44,Verified,1000.0,700.0,6,21.56,124.0,Approved,1,7.4,0.0,0.0,0.0,0,0,6,,
APP406346,FC04384,2024-08-26,Buy Now Pay Later,Mobile App,Not Captured,40,Female,Tier 2,Salaried,58436.0,19724.0,900.0,27,Verified,4800.0,4800.0,6,17.44,841.0,Approved,1,8.3,6.0,0.0,0.0,0,2,4,4.0,
APP404190,FC03131,2024-07-25,Credit Line,Website,Android,18,Male,Tier 1,Self Employed,40709.0,12433.0,582.0,3,VERIFIED,272200.0,,18,29.2,,Rejected,0,,,,,0,1,9,,Thin credit file
APP402834,FC03292,2024-10-17,Small Business Loan,Mobile App,Android,31,Male,Tier 2,Gig Worker,32500.0,16554.0,489.0,75,Verified,182500.0,,6,31.29,,Rejected,0,,,,,0,2,6,6.0,Thin credit file
APP405590,FC02205,2024-05-31,Credit Line,Mobile App,Android,45,Male,Tier 2,Self Employed,47959.0,596.0,632.0,12,Verified,248700.0,248700.0,6,25.52,44589.0,Approved,1,16.4,6.0,0.0,0.0,0,0,8,,
APP400603,FC03288,2024-06-05,personal loan,Website,Android,28,Male,Tier 1,Salaried,29493.0,7086.0,855.0,36,VERIFIED,77300.0,77300.0,6,16.1,13495.0,Approved,1,6.7,3.0,0.0,0.0,0,1,11,,
APP404314,FC03303,18/09/23,Buy Now Pay Later,Mobile App,Android,30,Male,Tier 1,Self Employed,5000.0,4050.0,,45,Verified,3900.0,,6,28.78,,Rejected,0,,,,,0,2,7,4.0,Low credit score
APP400710,FC01800,2024-03-13,Two Wheeler Loan,Partner Merchant,Android,27,Male,Tier 1,Salaried,24698.0,2326.0,646.0,32,Verified,112800.0,95100.0,48,20.86,2938.0,Approved,0,,,,,0,0,2,,
APP405406,FC01785,2024-03-05,Credit Line,Partner Merchant,iOS,47,Male,Tier 1,Gig Worker,10520.0,608.0,729.0,75,Verified,268400.0,,36,20.17,,Under Review,0,,,,,0,0,7,,
APP402518,FC03376,2023-10-05,Credit Line,Website,Android,34,Male,Tier 1,salaried,87262.0,11830.0,,25,Pending,29600.0,,36,23.73,,Rejected,0,,,,,0,1,9,,Income below threshold
